088.pgm 	 (109 , 162) 	 No Motion Centroid 	 Motion Difference
089.pgm 	 (109 , 162) 	 No Motion Centroid 	 Motion Difference
090.pgm 	 (109 , 162) 	 No Motion Centroid 	 Motion Difference
091.pgm 	 (109 , 162) 	 No Motion Centroid 	 Motion Difference
092.pgm 	 (109 , 162) 	 Motion Centroid 	 Motion Difference
093.pgm 	 (109 , 163) 	 No Motion Centroid 	 Motion Difference
094.pgm 	 (109 , 163) 	 Motion Centroid 	 Motion Difference
095.pgm 	 (110 , 163) 	 No Motion Centroid 	 Motion Difference
096.pgm 	 (110 , 163) 	 No Motion Centroid 	 Motion Difference
097.pgm 	 (110 , 163) 	 Motion Centroid 	 Motion Difference
098.pgm 	 (110 , 164) 	 No Motion Centroid 	 Motion Difference
099.pgm 	 (110 , 164) 	 No Motion Centroid 	 Motion Difference
100.pgm 	 (110 , 164) 	 No Motion Centroid 	 Motion Difference
101.pgm 	 (110 , 164) 	 No Motion Centroid 	 Motion Difference
102.pgm 	 (110 , 164) 	 Motion Centroid 	 Motion Difference
103.pgm 	 (111 , 164) 	 No Motion Centroid 	 Motion Difference
104.pgm 	 (111 , 164) 	 No Motion Centroid 	 Motion Difference
105.pgm 	 (111 , 164) 	 No Motion Centroid 	 Motion Difference
106.pgm 	 (111 , 164) 	 Motion Centroid 	 Motion Difference
107.pgm 	 (111 , 165) 	 No Motion Centroid 	 Motion Difference
108.pgm 	 (111 , 165) 	 No Motion Centroid 	 Motion Difference
109.pgm 	 (111 , 165) 	 No Motion Centroid 	 Motion Difference
110.pgm 	 (111 , 165) 	 No Motion Centroid 	 Motion Difference
111.pgm 	 (111 , 165) 	 No Motion Centroid 	 Motion Difference
112.pgm 	 (111 , 165) 	 Motion Centroid 	 Motion Difference
113.pgm 	 (112 , 165) 	 No Motion Centroid 	 Motion Difference
114.pgm 	 (112 , 165) 	 Motion Centroid 	 Motion Difference
115.pgm 	 (112 , 166) 	 No Motion Centroid 	 Motion Difference
116.pgm 	 (112 , 166) 	 Motion Centroid 	 Motion Difference
117.pgm 	 (113 , 166) 	 No Motion Centroid 	 Motion Difference
118.pgm 	 (113 , 166) 	 No Motion Centroid 	 Motion Difference
119.pgm 	 (113 , 166) 	 No Motion Centroid 	 Motion Difference
120.pgm 	 (113 , 166) 	 Motion Centroid 	 Motion Difference
121.pgm 	 (114 , 166) 	 No Motion Centroid 	 Motion Difference
122.pgm 	 (114 , 166) 	 No Motion Centroid 	 Motion Difference
123.pgm 	 (114 , 166) 	 Motion Centroid 	 Motion Difference
124.pgm 	 (115 , 166) 	 No Motion Centroid 	 Motion Difference
125.pgm 	 (115 , 166) 	 No Motion Centroid 	 Motion Difference
126.pgm 	 (115 , 166) 	 No Motion Centroid 	 Motion Difference
127.pgm 	 (115 , 166) 	 No Motion Centroid 	 Motion Difference
128.pgm 	 (115 , 166) 	 No Motion Centroid 	 Motion Difference
129.pgm 	 (115 , 166) 	 No Motion Centroid 	 Motion Difference
130.pgm 	 (115 , 166) 	 No Motion Centroid 	 Motion Difference
131.pgm 	 (115 , 166) 	 Motion Centroid 	 Motion Difference
132.pgm 	 (116 , 166) 	 No Motion Centroid 	 Motion Difference
133.pgm 	 (116 , 166) 	 No Motion Centroid 	 Motion Difference
134.pgm 	 (116 , 166) 	 No Motion Centroid 	 Motion Difference
135.pgm 	 (116 , 166) 	 No Motion Centroid 	 Motion Difference
